payment_method,unit_price,quantity,total_amount,hour_of_purchase,day_of_week,has_notes,ticket_tier,time_since_purchase_hours,label
2,47.0,2,94.0,22,0,0,2,712.7,0
3,25.0,3,75.0,18,3,0,0,254.5,0
2,47.0,2,94.0,2,2,0,2,697.6,0
2,25.0,2,50.0,14,0,0,0,168.6,0
2,22.0,1,22.0,10,2,1,1,611.3,0
3,25.0,1,25.0,22,4,0,0,450.1,0
3,30.0,1,30.0,19,4,0,1,627.0,0
3,35.0,2,70.0,21,1,1,1,65.2,0
1,20.0,1,20.0,19,5,1,0,7.9,1
3,22.0,1,22.0,17,2,0,1,424.6,0
3,22.0,3,66.0,18,5,0,1,271.0,0
2,12.0,2,24.0,7,0,0,0,448.6,0
2,20.0,4,80.0,17,4,0,0,313.2,0
0,12.0,1,12.0,17,2,1,0,1.2,1
2,55.0,2,110.0,16,5,0,2,623.7,0
2,20.0,1,20.0,8,3,0,0,422.2,0
3,15.0,2,30.0,20,5,0,0,320.8,0
0,12.0,1,12.0,1,5,1,0,3.2,1
0,15.0,1,15.0,13,5,1,0,7.1,1
3,12.0,1,12.0,8,0,0,0,636.3,0
0,55.0,1,55.0,15,3,0,2,3.6,1
2,12.0,1,12.0,7,5,0,0,583.4,0
3,60.0,1,60.0,11,2,0,2,61.9,0
2,35.0,1,35.0,17,2,0,1,167.8,0
3,15.0,3,45.0,23,1,0,0,598.3,0
0,25.0,1,25.0,16,4,1,0,1.0,1
3,35.0,4,140.0,12,0,0,1,621.7,0
0,25.0,1,25.0,5,5,1,0,5.5,1
0,60.0,1,60.0,20,2,1,2,3.0,1
1,30.0,1,30.0,22,1,1,1,5.0,1
3,12.0,1,12.0,15,5,0,0,615.0,0
3,50.0,3,150.0,16,4,0,2,344.8,0
3,25.0,1,25.0,16,0,0,1,235.8,0
1,60.0,1,60.0,18,6,1,2,2.5,1
3,12.0,6,72.0,19,1,0,0,402.8,0
3,15.0,2,30.0,22,4,1,0,375.8,0
3,15.0,3,45.0,19,5,0,0,317.8,0
2,20.0,2,40.0,22,5,0,0,547.5,0
2,12.0,1,12.0,18,4,0,0,62.1,0
2,12.0,1,12.0,1,2,0,0,140.8,0
0,55.0,2,110.0,15,0,1,2,1.0,1
0,12.0,1,12.0,5,5,1,0,1.9,1
3,15.0,4,60.0,16,0,0,0,623.6,0
0,50.0,2,100.0,17,0,1,2,2.6,1
0,60.0,1,60.0,0,0,1,2,3.5,1
1,25.0,1,25.0,12,4,0,0,4.5,1
3,25.0,3,75.0,19,0,0,1,586.3,0
2,55.0,3,165.0,13,1,0,2,493.1,0
3,20.0,2,40.0,0,5,1,0,595.6,0
3,30.0,2,60.0,21,0,1,1,33.2,0
1,60.0,2,120.0,17,1,1,2,4.3,1
2,25.0,3,75.0,16,1,0,1,374.3,0
3,25.0,1,25.0,5,6,1,0,311.8,0
1,25.0,2,50.0,19,6,1,0,1.4,1
3,20.0,1,20.0,2,5,1,0,460.9,0
1,25.0,1,25.0,20,1,1,1,6.7,1
3,35.0,5,175.0,16,5,0,1,320.5,0
3,25.0,2,50.0,16,6,0,1,158.4,0
3,60.0,2,120.0,21,2,0,2,74.3,0
2,25.0,2,50.0,7,4,0,0,168.1,0
2,22.0,2,44.0,16,4,0,1,101.6,0
0,47.0,1,47.0,17,6,1,2,2.0,1
2,20.0,2,40.0,19,4,0,0,429.9,0
3,25.0,2,50.0,19,4,0,0,363.2,0
3,12.0,2,24.0,16,5,0,0,232.3,0
3,25.0,1,25.0,20,3,0,1,442.6,0
3,35.0,2,70.0,15,1,0,1,293.7,0
